base_portfolio,threshold_set,activation_threshold,deactivation_threshold,cost_bps,model,CAGR,Sharpe,Sortino,max_drawdown,Calmar,avg_turnover,benchmark_model,benchmark_CAGR,benchmark_Sharpe,benchmark_Sortino,benchmark_max_drawdown,benchmark_Calmar,benchmark_avg_turnover,cagr_delta_pct_points,sharpe_delta,mdd_improvement_pct_points,calmar_delta,turnover_delta,mdd_pass,calmar_pass,cagr_cost_pass,overall_guardrail_pass
defensive_35,a70_d40,0.7,0.4,2.0,defensive_35_hmm_a70_d40_cost_2,0.07413939936012248,0.8887864068763206,1.172537815506084,-0.2095335425350182,0.35383069680947127,0.001217517725929662,defensive_35_static_quarterly_cost_2,0.07615755764473131,0.8922749070985242,1.1683252182865906,-0.22315683422774346,0.3412736961800079,0.000712107283914379,-0.20181582846088286,-0.0034885002222035943,1.3623291692725248,0.012557000629463355,0.0005054104420152831,True,True,True,True
balanced_40,a70_d40,0.7,0.4,2.0,balanced_40_hmm_a70_d40_cost_2,0.08137258264696823,0.95179291546095,1.2357395368520836,-0.19620509355002713,0.4147322639522626,0.0013749668561536539,balanced_40_static_quarterly_cost_2,0.08358602559545014,0.9464564064172057,1.2178003336678052,-0.2148640508724462,0.38901819665063886,0.0006987776514921519,-0.2213442948481914,0.005336509043744275,1.8658957322419067,0.025714067301623733,0.0006761892046615019,True,True,True,True
current_45,a70_d40,0.7,0.4,2.0,current_45_hmm_a70_d40_cost_2,0.08468824723148494,0.977084387934205,1.25854829335725,-0.19195557536303942,0.44118670203413873,0.0015311306666873736,current_45_static_quarterly_cost_2,0.08709329814877687,0.9629072168384856,1.2254762170591236,-0.22091133912824257,0.39424548550773036,0.0006880469928180449,-0.24050509172919288,0.014177171095719476,2.8955763765203146,0.04694121652640837,0.0008430836738693287,True,True,True,True
growth_50,a70_d40,0.7,0.4,2.0,growth_50_hmm_a70_d40_cost_2,0.08813661948303952,0.9831989431243741,1.2550448293037988,-0.19805626833942702,0.44500797789440216,0.001511948598136902,growth_50_static_quarterly_cost_2,0.09051681455984628,0.9629746199773399,1.2134488850461476,-0.2269614459630508,0.39882022330163674,0.0006697853521663112,-0.2380195076806757,0.02022432314703415,2.890517762362377,0.04618775459276542,0.0008421632459705907,True,True,True,True
aggressive_55,a70_d40,0.7,0.4,2.0,aggressive_55_hmm_a70_d40_cost_2,0.09543490991865955,1.0004097997678405,1.2622687792913252,-0.19136616227667202,0.4987031603877928,0.00148292192009924,aggressive_55_static_quarterly_cost_2,0.097795345940076,0.9757148528842019,1.218127733898962,-0.2205380017237748,0.44343988417272984,0.0006361588919637428,-0.23604360214164455,0.024694946883638602,2.9171839447102776,0.05526327621506294,0.0008467630281354971,True,True,True,True
