base_portfolio,threshold_set,activation_threshold,deactivation_threshold,cost_bps,model,CAGR,Sharpe,Sortino,max_drawdown,Calmar,avg_turnover,benchmark_model,benchmark_CAGR,benchmark_Sharpe,benchmark_Sortino,benchmark_max_drawdown,benchmark_Calmar,benchmark_avg_turnover,cagr_delta_pct_points,sharpe_delta,mdd_improvement_pct_points,calmar_delta,turnover_delta,mdd_pass,calmar_pass,cagr_cost_pass,overall_guardrail_pass
defensive_35,a70_d40,0.7,0.4,2.0,defensive_35_hmm_a70_d40_cost_2,0.07427626853097524,0.9030057372879778,1.2203753737320748,-0.20953354253501766,0.35448390569047933,0.0013530637862081282,defensive_35_static_quarterly_cost_2,0.07615755764473131,0.8922749070985242,1.1683252182865906,-0.22315683422774346,0.3412736961800079,0.000712107283914379,-0.18812891137560683,0.010730830189453644,1.3623291692725803,0.013210209510471416,0.0006409565022937492,True,True,True,True
balanced_40,a70_d40,0.7,0.4,2.0,balanced_40_hmm_a70_d40_cost_2,0.08137621073072832,0.9779609512640074,1.3176213605433977,-0.1962050935500269,0.41475075523449456,0.0015441520697867946,balanced_40_static_quarterly_cost_2,0.08358602559545014,0.9464564064172057,1.2178003336678052,-0.2148640508724462,0.38901819665063886,0.0006987776514921519,-0.22098148647218263,0.03150454484680165,1.865895732241929,0.025732558583855702,0.0008453744182946427,True,True,True,True
current_45,a70_d40,0.7,0.4,2.0,current_45_hmm_a70_d40_cost_2,0.08452152678211355,1.0138717519937117,1.367730192974282,-0.19195557536304053,0.44031816539978175,0.0017353226426651944,current_45_static_quarterly_cost_2,0.08709329814877687,0.9629072168384856,1.2254762170591236,-0.22091133912824257,0.39424548550773036,0.0006880469928180449,-0.25717713666633113,0.05096453515522614,2.8955763765202036,0.04607267989205138,0.0010472756498471495,True,True,True,True
growth_50,a70_d40,0.7,0.4,2.0,growth_50_hmm_a70_d40_cost_2,0.08800963973886744,1.0304147872039966,1.3792060512345587,-0.19805626833942724,0.4443668482536348,0.0017177337749118985,growth_50_static_quarterly_cost_2,0.09051681455984628,0.9629746199773399,1.2134488850461476,-0.2269614459630508,0.39882022330163674,0.0006697853521663112,-0.25071748209788414,0.06744016722665669,2.8905177623623546,0.04554662495199807,0.0010479484227455872,True,True,True,True
aggressive_55,a70_d40,0.7,0.4,2.0,aggressive_55_hmm_a70_d40_cost_2,0.09541004995750701,1.0616254065894382,1.406777477842207,-0.19136616227667191,0.4985732525668033,0.0016886920306940442,aggressive_55_static_quarterly_cost_2,0.097795345940076,0.9757148528842019,1.218127733898962,-0.2205380017237748,0.44343988417272984,0.0006361588919637428,-0.238529598256898,0.08591055370523626,2.9171839447102887,0.055133368394073456,0.0010525331387303014,True,True,True,True
